id--response_id	submitdate--date_submitted	lastpage--last_page	startlanguage--start_language	a03--gender:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a06--city:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a05--state/province:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a04--country:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	b02--formation_or_concentration:__please_tell_us_your_educational_background_(biology,_chemistry,_physics,_etc)	b01--please_tell_us_the_highest_degree_achieved:	b03--are_you_affiliated_with_any_institutions/groups/organizations?	b04--could_you_tell_us_which_one(s)?	b05--if_you_are_in_an_academic_institution,_what_is_your_main_occupation:__ 	c01-- __which_of_these_are_your_main_work_area?	c02--for_how_many_years_have_you_been_working_in_this_area?__ 	e01--how_do_you_perceive_research_equipment_access_inside_your_group/institution?	e03--could_you_explain_a_bit_your_previous_answer?	e02--which_of_the_following_do_you_consider_to_be_the_biggest_difficulty_in_equipment_access?	e04[sq001]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[most_used:]	e04[sq002]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[second_most_used_(if_any):]	e04[sq003]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[third_most_used_(if_any):]	e08[sq001]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_1:]	e08[sq002]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_2_(if_any):]	e08[sq003]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_3(if_any):]	e05--was_there_ever_a_need_to_change_a_project_due_to_problems_related_to_equipment_use/access?	e06--could_you_tell_us_which_equipment_caused_the_change?_(please_try_to_avoid_acronyms, _use_thermocycler_instead_of_pcr_machine).	e07--in_case_any_projects_had_to_be_changed_due_to_access/problems,_could_you_tell_us_why?	d01--do_you_use_open_technologies*_in_your_work/research/projects?__ __*any_tools,_code_or_equipment_based_on_open_source_(build,_calibration_plans,_and/or_code_freely_distributed)__ 	d04--which_ones?_(please_list_all_that_you_remember._separate_them_with_commas:_imagej,_python,_ubuntu,_openpcr,_etc)	d02--do_you_know_anyone_who_is_using_open_technologies?	d05--could_you_tell_us_what_they_are_using?_(please_list_all_that_you_remember._separate_them_with_commas:_imagej,_python,_ubuntu,_openpcr,_etc)	d03--do_you_know_any_scientific_equipment_that_is_open_source?	d06--which_ones_(please_list_all_that_you_know/remember._separate_them_with_commas:_openpcr,_openephys,_etc)	f01--would_you_consider_buying_equipment_from_new_brands?	f08--could_you_tell_us_why?	f02--would_you_consider_building_laboratory_equipment_yourself,_if_you_were_given_a_list_of_necessary_components_and_the_building_and_calibration_manuals?	f09--could_you_tell_us_why?	f03--have_you_ever_tested_equipment_from_less_known/new_brands?	f04--you_did_it_because:	f05--have_you_ever_built_laboratory_equipment_yourself?	f06--could_you_please_tell_us_a_bit_more_about_it?	f07--would_you_like_to_test_research_equipment_from_new_brands_or_distributed_under_diy_paradigm?
80	2019-01-20 15:52:53	8	en	male	st louis	mo	usa	neuroscience	phd	yes	washington university, openbehavior.org	professor	other	18	partially satisfactory	"our group focuses on behavioral neuroscience, and in particular feeding and obesity.  i have often seen a bottle-neck in equipment, in that commercial equipment for measuring feeding and metabolism is both expensive and takes up a lot of space.  so if we want to buy a commercial system for measuring food intake, we will pay about $5k per set-up (for each mouse we can run at one time), and we will need a special place to house it.  as a result of these two factors, most people studying feeding purchase systems of ~8-16 setups, at a cost of $40-80k.  very few groups could afford more than this for equipment, and even if we did purchase 30 setups we'd need an extra room to house them in, which is hard to come by.  the problem with using 8-16 chambers is that feeding (like many other complex behaviors) is very variable between mice.  the norm in our field is ~8 mice/group, which i believe is linked to the availability of commercial equipment.  in the research groups i've been a part of that's been my experience. 
 however, when statistical power is calculated on feeding studies we are often woefully underpowered.  ideally we would look at ~100 mice per group, but that's simply not an option.  so in that way, i find our equipment unsatisfactory, and my entry into the open source hardware community was the result of me trying to overcome this bottleneck.  on the other hand, much of our equipment is excellent and i am grateful to be able to be able to use it - this includes microscopes and ephys equipment.  a lot of engineering went into these systems and i think they are excellent (although expensive) products."	too many users for a small number of equipment/tools	behavioral monitoring equipment	electrophysiology equipment	microscopy	electrophysiology rig	laser uncaging system for electrophysiology rig	none	yes	we usually design the power of our studies around available equipment and person-hours... i hate to say it but this becomes the decision-maker on group size more than statistical concerns	equipment unavailable (other reasons than being broken)	yes	python, bonsai, imagej, 	yes	imagej, python, bonsai	yes	fed, a lot of home-brew equipment 	yes	i am not strongly tied to the brands we use, so if something came out that was a better fit for our research i'd definitely consider it!	yes	our lab has a lot of experience designing and building open-source behavioral equipment (https://hackaday.io/projects/hacker/294140) so i'm comfortable building others' projects.	yes	just to try out new things	yes	we have built many devices for monitoring animal behavior (https://hackaday.io/projects/hacker/294140).  this effort in our lab started as a result of limited equipment for our experiments, and the inability to purchase more due to price and space limits.  	yes
81	2019-01-20 17:14:03	8	en	female		new jersey	united states	biology	phd	yes	princeton	researcher	biology	8	satisfactory			animal operant behavior boxes	surgery	imaging brains	confocal microscope	soldering oven	giant laser cutter	no			yes	python, julia, imagej, openephys, bpod, miniscope, lots of open designs for optogenetics, imaging, electrophysiology, and behavior.	yes	julia, r, python, imagej, openephys, bpod, miniscope, lots of open designs for optogenetics, imaging, electrophysiology, and behavior.	yes	openephys	yes	if the documentation was clearer	yes	i already do this	no		yes	we build behavior setups and use open designs for electrophysiology optogenetics behavior and imaging	yes
82	2019-01-20 19:42:41	8	en	female	dublin		ireland	biology	bachelors of science	yes		researcher	biology	7	unsatisfactory		too many users for a small number of equipment/tools	microscopes	none	none	light sheet microscope	none	none	yes		equipment unavailable (other reasons than being broken)	yes	imagej, python, 3d printed components from thingiverse	yes	imagej	no		yes	i'm happy to try new things	yes	 i've done this before	yes	needed to establish new protocols/experiments in the lab for which there were no options available in the market	yes	diy microscope, diy syringe pump 	yes
83		3	en	male	washington	dc	united states	biology	phd	yes	nih	researcher	biology	5					none	none		none	none																		
84		3	en	male	los angeles	california	usa	neuroscience	phd	yes	ucla	professor	biology	14					none	none		none	none																		
85		3	en	female	canberra	australian capital territory	australia	biology	phd	yes	australian national university	researcher	other	10					none	none		none	none																		
86		3	en	male			germany	biology	phd	yes		researcher	biology	18					none	none		none	none																		
87	2019-01-20 21:32:34	8	en	male	vienna		austria	neuroscience	phd	yes	ist austria	professor	other	20	satisfactory	fortunately, the institution provides a strong core infrastructure, we have enough funs to build the required equipment (perhaps not enough to buy it from the shelf)		mulit-photon	behavioral tracking	electrophysiology	pulsed laser	none	none	no			yes	tracking software (deeplabcut), scanimage, imagej, python	yes	tracking software (deeplabcut), scanimage, imagej, python	yes	openephys	maybe	if required.	yes	because it is an essential learning process for students. it is cheaper and although it might take a bit longer to get started, it pays back in time very quickly later on when troubleshooting.	yes	looking for affordable option	yes	"behavioral setups
stimulus equipment
microscopes (multi-photon, epiflurescent)"	yes
88		4	en	male				biology	phd	yes		professor	biology	14	unsatisfactory	a lot of equipments were destroyed by isis and militia, the remaining ones are simple so you need to travels elsewhere to do research or you have to pay a lot of money by sending it abroad  	certain types of equipment are not available	microscopy	autoclave	pcr 	uhplc	fluorescent microscope	minion millipore sequencing 	yes	hplc, real time pcr,	equipment unavailable (other reasons than being broken)															
89		-1	en																																						
90			en																																						
91	2019-01-21 10:01:15	8	en	female	london		united kingdom	biology	phd	yes	the francis crick insitute	researcher	biology	10	satisfactory	we are very well funded, although we are missing a workshop able to develop custom equipment		molecular biology tools	two photon microscope	electrophysiology	high throughput behavioural arena	two photon microscope	none	no			yes	imagej, python, r	yes	imagej, python, r, openpcr	yes	openpcr, flypi	yes	why not?	yes	i would consider doing this, although i am not sure if i would have time for it. i would prefeer if there would be someone at my institution whose job would be to do this.	yes	needed to establish new protocols/experiments in the lab for which there were no options available in the market	yes	just small simple things like optogenetic behavioural arenas	yes
92		3	en		london		uk	biology/biophysics	phd	yes	the francis crick institute	researcher	other	8					none	none		none	none																		
93			en																																						
94	2019-01-21 10:21:35	8	en	male	london		united kingdom	btech biotechnology. phd neuroscience	phd	yes	the francis crick institute	researcher	biology	9	satisfactory	we have access to state of the art instruments. hoever, often we need to build customised small equipments for our daily needs in our experimental work.		patch clamp rig	computer	soldering iron	patch clamp amplifier	none	none	no			yes	python programming language	yes	python, openephys, bonsai	yes	openephys	yes	sometimes they give us better support and are lot cheaper than the already established brands	yes	when funds become a constraint, you would need to build some small equipments.	yes	needed to establish new protocols/experiments in the lab for which there were no options available in the market	yes	building arduino based small robots to do stereotyped works.	yes
95	2019-01-21 10:25:10	8	en	female				biology	phd	yes	crick	researcher	biology	10	satisfactory			microcsopes, electrophysiology equipment (pipettes, head stages, slicers, stereotax frames), optogenetics equipment (lasers, leds, light fibers)	none	none	two photon microscope	none	none	no			yes	imagej, python	yes	imagej, python	no		yes	if a new brand has something you need, it doesn't matter that it's a new brand.	yes	if budget limited, of course. if not, better the spend the money than the time. time best spent on data collection if possible.	yes	only available brand	yes	custom photometry rigs, behaviour mazes, brain implants	no
96	2019-01-21 10:23:50	8	en	male	london		uk	biology	phd	yes	the francis crick institute	researcher	biology	8	satisfactory			drosophila tube and medium	microscope	software for image analysis	ultra resolution microscope	none	none	no			yes	fiji, vlc, slack	yes	fiji, vlc, slack	no		maybe	if the brand provide better services	yes	if it reduce the price	no		no		yes
97		1	en																																						
98		3	en	male	boston	massachusetts	united states	neuroscience	phd	yes	harvard	researcher	other	10					none	none		none	none																		
99		3	en	female				chemistry	phd	yes		professor	biology	23					none	none		none	none																		
100			en																																						
101	2019-01-21 16:00:07	8	en	female	montreal		canada	psychology	masters	yes	mcgill university	student	other	5	partially satisfactory	mri machines are manufactured by large multinational companies and their software is therefore proprietary. it would be preferable if we could run open-source software on these machines to better control our acquisition sequences.	the amount of time necessary to repair/calibrate existing equipment	magnetic resonance imaging scanner	none	none	mobile magnetoencephalography system	none	none	no			yes	ubuntu, bash, python, git, docker	yes	ubuntu, bash, python, git, docker	no		yes	if a brand was distributing open-source software to manage their acquisition sequences, i would prefer to use open-source technologies.	yes	to better understand the acquisition process.	no		no		yes
102	2019-01-21 18:41:38	8	en	male	kilifi		kenya	biology	phd	yes	kemri-wellcome trust	student	biology	8	partially satisfactory		certain types of equipment are not available	pcr thermocyclers	none	none	thermocycler	robot rna extractor	none	yes	illumina miseq	consumables were not available	yes	python, perl, linux, tor, mendeley	yes	same as above	no		yes	as long as the description of what it does fits my needs and most likely cost effective, i would buy	yes	i love building things, so it would be fun to.	no		no		yes
103		3	en	male	barcelona	barcelona	españa	physics	phd	yes	idibaps	researcher	biology	19					none	none		none	none																		
104		3	en	male				biochemistry 	phd	yes	university of ghana 	researcher	biology	10					none	none		none	none																		
105	2019-01-22 11:28:18	8	en	female	cape town	western cape	south africa	molecular genetics, bioinformatics, epidemiology/biostats	phd	yes	uct	researcher	health	20	satisfactory	sufficient compute power for what i need to do		servers 	pcs	none	microserver	none	none	no			yes	"r,python, mysql,  thunderbird, firefox, 
redcap (freeware, but not strictly open source)
"	yes	r,python, mysql,  thunderbird, firefox, ubuntu	no		maybe	depends on ability to validate quality (no history to refer to)	yes	flexibility and cost, understanding functioning fully	no		no		no
106		3	en	male	london	london	united kingdom	physics & neuroscience	phd	yes	francis crick institute, ucl	professor	other	20					none	none		none	none																		
107	2019-01-22 13:13:37	8	en	male	iowa city	iowa	united states	neuroscience	bachelors of art	yes	university of iowa	student	other	5	partially satisfactory	relative to other institutions, our magnetic resonance imagining (mri) machine has good availability, but it can still be difficult to schedule time to use the machine. additionally, it would be nice to have more support staff sorrounding the mri to work with researchers and physists to develop sequences. finally, more infrastructure to download and process the data collected would be excellent.	too many users for a small number of equipment/tools	high performance computing cluster	mri	none	mri processing software	magnetic resonance imaging machine	none	yes	magnetic resonance imaging machine		yes	python, ubuntu, r, git, online data repositories	yes	python, ubuntu, r, git, online data repositories	no		yes	brand loyalty doesn't determine how good a tool is.	yes	it could be fun, (probably couldn't build a magnetic resonance imaging machine though)	no		no		yes
108	2019-01-22 14:22:32	8	en	male			uk	biology - biochemistry, cell biology, immunology, structural biology	phd			researcher	biology	15	partially satisfactory		certain types of equipment are not available	chromatography - akta protein purification	confocal microscope	mass spectrometer	mass spectrometer	airyscan confocal microscope	dynamic light scattering	no			no		no		no		maybe	in an ideal setting, as long as the piece of equipment is shown to perform well, branding should not affect choice. however, with the number of choices increasingly becoming available, i tend to go with the well established or leading brands for most equipment. for instance, that would mean an akta from ge rather than another company, or a confocal microscope from zeiss rather than a new brand.	no	possibly yes. time is the biggest constraint and for complex sophisticated pieces of equipment, i am not sure. 	yes	looking for affordable option	no		yes
109	2019-01-22 14:26:11	8	en	male	cologne	nrw	germany	biology	phd	yes	max planck society	professor	biology	16	satisfactory	i have freedom to choose/purchase equipment to access either within my group or within the institute.  		thermocyclers and gel station	microinjectors	sterescopes	morbidostat	drone for aerial survey of field station	none	no			no		no		no		yes	why not? if the technology is new and only available from the new brand, i would totally go for it. 	yes	i like tinkering - i like to have a basic understanding for the basic components of the equipment we use. it helps me even design better experiments.	no		no		yes
110	2019-01-22 14:26:26	8	en	male				biology	phd	yes	institute of microbiology, czech academy of sciences	researcher	biology	13	partially satisfactory		certain types of equipment are not available	elisa reader	real-time thermocycler	none	microspectrophotometer (nanodrop)	dual x-ray absorptimeter	plethysmograph	no			yes	imagej, inkscape	yes	imagej, ubuntu	no		maybe	if they offer any advantage over the old brands.	yes	science is problem-solving. this is just part of it.	no		no		yes
111		1	en	male	singapore																																				
112	2019-01-22 14:47:36	8	en	male	prague		czech republic	biology	phd	yes	academy of sciences of cr	professor	biology	20	partially satisfactory	"some equipment available via facilities
other type of equipment owned by individual groups and consent needed
some equipment not available in the institute"	certain types of equipment are not available	centrifuges	electrophoresis aparatus	biosafety cabinets	liquid chromatography purification station	total-internal-reflection fluorescence microscope	camera for single molecule imaging	no			yes	fiji, micromanager, ape	yes	imagej	yes	openspim	yes	if cheaper but looks robust enough	no	no time 	yes	looking for affordable option	no		yes
113	2019-01-22 14:48:35	8	en	male	brno	moravia	czech republic	pharmacy	phd	yes	ceitec mu	researcher	other	24	satisfactory	new research institute with top equipment which will become old one day...		fplc	thermocycler	electrophoresis	table top centrifuges	-80c freezer	small shakers	no			yes	imagej, pymol, sparky, chimera, molmol, centos, python, dna strider, pdraw, etc, etc	no		no		maybe	noname brands often made in china break earlier	yes	cheaper and fun!	yes	looking for affordable option	no		yes
114	2019-01-22 14:51:56	8	en	male	oxford		uk	biology	phd	yes	university of oxford	professor	biology	16	satisfactory	we have easy access to state-of-the-art equipment via core facilities.		molecular biology (pcr, etc)	flow cytometry	next gen sequencing	hyperion (imaging cyof)	none	none	no			i wouldn't know		i wouldn't know		no		yes	to get access to the latest technologies	no	like to focus on hypothesis driven research	yes	brand was recommended by a colleague	no		no
115		1	en	female																																					
116		1	en	male																																					
117		1	en																																						
118		3	en	female	zurich	zürich	switzerland	engineering	masters	yes	university of zurich	student	engineering	3					none	none		none	none																		
119	2019-01-23 08:44:08	8	en	female	tuebingen	baden-wuerttemberg	germany	biology	masters	yes	university of tuebingen	researcher	biology	5	satisfactory			two-photon microscope	confocal microscope	none	multi-electrode array	none	none	no			yes	python, imagej	yes	imagej, python	no		maybe	maybe because they are less expensive.	yes	we can customize things according to our need and will also learn the basic working principle of the equipment which would also help in solving technical issues that comes during the experiment.	no		no		yes
120	2019-01-23 10:37:39	8	en	female				biology	phd	yes	private basic research institute	professor	biology	18	satisfactory			dissection microscopes	pipettes	thermocycler	confocal microscope	next generation sequencer	none	no			no		i wouldn't know		no		maybe	i would like to know if other colleagues have good experience with a new brand first. of course, it depends on the level of sophistication of the piece of equipment and how easy it would be for me to asses if the equipment fails or is imprecise in any way.	yes	again it would depend on the sophistication of the equipment and the relative cost (not just price, but maintenance, and also environmental friendliness). 	yes	only available brand	no		yes
121		4	en	female			germany	neuroscience	masters	yes	nmi/mcs	student	biology	7	partially satisfactory	the variety is sufficient, the quality is something debatable.	the amount of time necessary to repair/calibrate existing equipment	microelectride array	computer	none	a decent light stimulation setup	a good camara	none	yes		equipment unavailable (other reasons than being broken)															
122		3	en	male	portland	oregon	united states	bioinformatics	phd	yes	oregon health & science university	professor	other	15					none	none		none	none																		
123	2019-01-23 15:53:33	8	en	male	warsaw	mazowieckie	poland	biolgy	masters	yes	nencki institute	student	biology	5	satisfactory			cages for behavioral research, microscopes, software for analysis of behavioral data	none	none	two photon microscope for calcium imaging	none	none	no			yes	python, ubuntu, arduino, bonsai, miniscope, openephys	yes	the same as me	yes	miniscope, openephys, 	no	i do not ned it at this point	yes	im doing it actually, its cheap and gives much more control	yes	looking for affordable option	yes	i built a controller for a laser for oprogenetic experiments, automated doors for a cage	yes
124		3	en	male	paris		france	computer science / computational neuroscience	phd	yes	sorbonne university	researcher	other	13					none	none		none	none																		
125		2	en					psychology	phd	yes			arts																												
126	2019-01-23 16:21:42	8	en	male	san jose	california	united states	biology, genetics, high-throughput yeast genetics using barcode sequencing	phd	yes	nist, stanford	researcher	biology	7	satisfactory	i'm in a new lab flush with startup gear and leftovers from an old lab that just left. we are very well set up.		pipette	centrifuge	nanodrop	very high speed centrifuge (50ml's at 15krcf)	none	none	no			yes	"ubuntu, firefox, singularity, nextflow, r, python, gimp

my computer is all foss."	yes	just code, as above.	no		yes	"if it filled a need. example, i didn't know there are plate-filling robots (384 well format), and it makes some work we do way more feasible for one person to do.

but, i don't make the decisions about these kinds of things and have only made use with what we have. i'd like to take a more active role in the future."	yes	"i just remembered that i'm very intent on building an ingolia turbidostat.
https://github.com/ingolia-lab/turbidostat/tree/master/mcgeachy-2018
i've built one turbidostat prototype and troubleshot another type of these.

these are a better way of culturing pooled libraries for sequencing-based pooled screens. that might make pooled screens (so no need for robotics) more precise, and maybe more accessible to others."	no		yes	it was a turbidostat prototype, not good enough to actually use for experiments but it gave me the confidence to pursue building another better design (planning that now).	yes
127	2019-01-23 16:46:05	8	en	male			france	biology	masters	yes		student	biology	5	partially satisfactory	not compatible with all operating systems. works exclusively with proprietary software	the amount of time necessary to repair/calibrate existing equipment	photospectrometer	transmission electronic microscope	none	none	none	none	yes		equipment unavailable (other reasons than being broken)	yes	firefox, ubuntu, r, rstudio, latex, pandoc, vim, python, zotero	yes	firefox, ubuntu, r, rstudio, latex, pandoc, vim, python, zotero	no		maybe	science is highly competitive and some projects require fast results. i can not afford buying a broken/unfit piece of equipment. i therefore need to trust the brand. trust might come from previous purchases. but it might also come from other places so i'm not totally reluctant to this idea	yes	probably easier to replace broken parts	no		no		yes
128		3	en	female	gatineau	quebec	canada	ecology	phd	yes	code for science and society	researcher	biology	3					none	none		none	none																		
129		3	en	female				psychology	masters	yes		student	other	6					none	none		none	none																		
130		3	en	male	atlanta	georgia	united states	biology	phd	yes	emory university	researcher	computer science	1					none	none		none	none																		
131		2	en	female				neuroscience 	phd	yes			arts																												
132	2019-01-23 18:10:43	8	en	male			france	psychology, neuroscience, image processing	phd	yes	inra	researcher	other	10	partially satisfactory	we have lots of equipment but there is a cost to using it	other	mri	none	none	an mri at a tesla higher than 3	none	none	no			yes	python, imagej, itksnap, ants, fsl, spm, freesurfer,	yes	python, imagej, itksnap, ants, fsl, spm, freesurfer,	no		yes	why not	yes	why not	no		no		yes
133	2019-01-23 18:57:47	8	en	male	glasgow		scotland, united kingdom	meng in microelectronics & photonics, deng in medical devices	phd	yes	university of strathclyde	researcher	biology	8	satisfactory	i work in quite a collaborative institute where many pis are happy to share their equipment (although for some there is a monetary cost)		fluorescence microscope systems	patch clamp	western blotting	spinning disk confocal micrscope	3d printer	wire myograph	no			yes	imagej & fiji, umanager, python, vasotracker!	yes	imagej & fiji, umanager, python	yes	openspin, openspim, arduino, openpcr, openephys, prometheus, flypi, vasotracker	yes	i will always assess value for money. however, if i can build a better one myself then i will!	yes	lab equipment is unnecessarily expensive and often only designed for specific tasks. i would prefer to build things that are useful for exactly what i want to do!	no		yes	vasotracker (open source pressure myograph system, see www.vasotracker.com)	yes
134		7	en					a	bachelors of science			researcher	health	2	satisfactory			eeg	none	none	tilt machine	none	none	i wouldn't know			yes	eeglab	i wouldn't know		no		yes	g	yes	h	no		yes	g	yes
135			en																																						
136		2	en	male	kiifi		kenya	biology	phd	yes	pwani university	professor	biology	10																											
137			en																																						
138		3	en	female	columbia	mo	usa	physiology and pharmacology	phd	yes	university of missouri	professor	other	13					none	none		none	none																		
139	2019-01-23 23:11:53	8	en	male	paris		france	biology 	phd	yes	cnrs inserm 	researcher	biology	20	partially satisfactory	nice core facilities but expensive 	too many users for a small number of equipment/tools	behavioural setup	surgery room	electrophysiology rig	optical imaging miniscope in vivo	wireless optogenetic stimulation	electrophysiology extracellular recording setup	no			yes	openephys, ucla miniscope, fed (3d printed feeder), imagej, python, github	yes	openephys, ucla miniscope, fed (3d printed feeder), imagej, python, github	yes	openephys, ucla miniscope, fed (3d printed feeder), cyclops	yes	sometimes worth the price if too technical	yes	we are already doing so. cheaper, more flexibility to modify	yes	needed to establish new protocols/experiments in the lab for which there were no options available in the market	yes	high throughput operant chamber for mice. compatible with chronic recording and optogenetic protocols. necessary to run complex behavioural tasks. publication soon.	yes
140	2019-01-24 00:50:37	8	en	male	pasadena	california	usa	mech eng	bachelors of science	yes	caltech	student	biology	1	partially satisfactory	few of certain types of machines, hard to get time on them. time lags for buying new equiptment 	too many users for a small number of equipment/tools	microscope	syringe pump	gel imager	10x single cell sequencing machine	top of the line nikon microscope 	f2 excimer laser	i wouldn't know			yes	"python
arduino
imagej
poseidon (i developed)"	yes	same as above. we have user of the poseidon system. 	yes	"open pcr
open trons
poseidon
open source centrifuge
open source e-wetting machine "	maybe	cost and performance is important to consider. 	yes	i have complete control over the operation of the drive (as long as it works as well as i’d like it to.)	no		yes	poseidon syringe pump and microscope is an open source system that i developed	yes
141	2019-01-24 03:57:29	8	en	male	paris 		france	biology 	phd	yes	cnr s	researcher	biology	30	satisfactory			electrophysiology rigs	2-photon microscopes 	confocal miceoscopes	2-photon microscopes 	miniendoscopes	electrophysiology rigs for in vivo recordings	no			yes	image. python. 	yes	imaje j python openephys	yes	openephys	maybe	test	no	too complicated.too much time to invest. lack of support 	yes	looking for affordable option	yes	computers 	yes
142		3	en	female	langenau		germany	it & business & engineering	phd	yes	acm, webgrrls.de, dhbw (university)	professor	other	16					none	none		none	none																		
143		3	en	female	montpellier		france	evolutionary biology, ecology	phd	yes	institut national de la recherche agronomique	researcher	biology	8					none	none		none	none																		
144	2019-01-24 10:39:02	8	en					biology	phd	yes		researcher	biology	28	satisfactory			confical microscopes	custom built behavioural equipment	none	two-photon microscope	super resolution microscope	build more customised behavioural equipment	no			yes	fiji	i wouldn't know		no		yes	why not! as long as the equipment fits a need, who cares about the brand!	yes	because that would create equipment customised to my needs	yes	needed to establish new protocols/experiments in the lab for which there were no options available in the market	yes	my team has recently started to build customised behavioural equipment for fruit flies	yes
145			en																																						
146		5	en	male	paris		france	biology, computer science	phd	yes	center for research and interdisciplinarity	researcher	biology	18	satisfactory			incubator	thermocycler	confocal microscope	confocal microscope	liquid handling station	fluorescent stereomicroscope	yes	confocal microscope	equipment broke and it took too much time to repair it	yes	imagej, python, linux, emboss, php, java, mariadb, 	yes	imagej, python, linux, emboss, php, java, mariadb, openspim	yes	openspim, openpcr									
147		3	en	female	langenau		germany	it & engineering	phd	yes	dhbw	professor	computer science	13					none	none		none	none																		
148			en																																						
149	2019-01-24 20:11:47	8	es	male	lima	lima	peru	ingeniería	masters	yes	universidad peruana cayetano heredia	researcher	engineering	4	partially satisfactory	las facultades suelen comprar equipos/herramientas propietarias que demandan grans de montos de dinero, lo cual condiciona la adquisión de otros equipos. sin embargo, estan comenzando a apostar por los software y hardware libres pero en mínimas cantidades.	the amount of time necessary to repair/calibrate existing equipment	impresora 3d	centrifuga	incubadora	microscopio de fluorescencia	espectrofotometro	rotovapor	no			yes	software: openscad, freecad, repetier, gensole, ubuntu | hardware: arduino, rephone, raspberry pi	yes	software: openscad, freecad, repetier, ubuntu | hardware: arduino, rephone, raspberry pi	yes	openpcr, flypi, opendrop. openflexure, opentrons, generic lab equipmente by gaudilabs	yes	estas nuevas propuesta necesitan el apoyo y validaci{on de la comunidad	yes	¡porque es divertido! además puedes capacitar a más personas y que el proyecto se replique localmente.	yes	looking for affordable option	yes	replique una impresora 3d modelo prusa i3 y estoy terminando la construcción de un colorimetro e incubadora.	yes
150	2019-01-25 11:39:16	8	en	other	warsaw		poland	computer science, biology	masters	yes	nencki institute	student	other	8	partially satisfactory	yes	other	computers	coffe machine	microwave oven	cuda-enabled card of compute capability >= 3.5	more ram and hdd storage.	more powerful workstation	yes	random access memory and disk storage.	equipment unavailable (other reasons than being broken)	yes	ubuntu, git, python, numpy, scipy, matplotlib, pandas, libreoffice, inkscape	yes	yes. (ubuntu, git, python, numpy, scipy, matplotlib, pandas, libreoffice, inkscape)	no		maybe	no	yes	yes	yes	just to try out new things	yes	yes	yes
151		3	en	male	bristol	england	united kingdom	biology	phd	yes	university of bristol	researcher	other	5					none	none		none	none																		
152		3	pt-br	male	oxford	oxfordshire	united kingdom	biologia	phd	yes	oxford university	researcher	biology	3					none	none		none	none																		
153		4	en	male	stockholm 		sweden 	biomaterials 	phd	yes	kth 	researcher	engineering	8	partially satisfactory	equipment scattered. blocked access in individual groups 	certain types of equipment are not available	rtpcr	microscope 	qcm	confocal microscope 	hplc 	none	yes	microscope 	equipment unavailable (other reasons than being broken)															
154		3	en	female				neuroscience	bachelors of science	yes		student	biology	5					none	none		none	none																		
155	2019-01-26 18:36:36	8	en					electronics	specialization (after undergrad studies)	yes	asian institute of technology	student	engineering	6	partially satisfactory	although we have enough equipment that ment to accommodate students, we lack when and we need a new equipment for our researcher. it takes us lot of time to get permission from institute and  procure equipment.	certain types of equipment are not available	oscilloscope, fpga, avr atmega328, 50me	software defined radios, xlinx spatron	none	arduino	raspberry pi	adlam pluto sdr	yes	i started a project on software defined radios(sdr),where i need new sdr equipment . we ordered new and it took months to come. although we got it, due to low performance of hardware i had to change the project.	equipment unavailable (other reasons than being broken)	yes	debian, gnu radio, adlam pluto sdr, raspberry pi, python, tp-link, tp-link frimware	yes	debian, python, keras, open cv 	yes	adlam pluto sdr, gnu radio,  flypi	yes	usually i  buy form new brands that have initiatives of  open source hardware, which forecasts the use of it for open science ad technology.	yes	we as a group our own arduino based microcontrollers. i especially made a diy using existing software defined radio and external antennas.	yes	needed to establish new protocols/experiments in the lab for which there were no options available in the market	yes	"we as a small group of startup did experimentation to build agricultural product that suits for indian scenario.for this tested large samples of equipment and we had a small lab where we  have built, implemented and tested.

we as  4 members nearly have an equipment of nearly  2  lakh worth of, where the fund is generated by doing some outsourcing services."	yes
156		1	en	female					masters	yes																															
157			en																																						
158		3	en	male	sacramento	california	united states	biochemistry	phd	yes	vitality.bio	non-administrative/non-academic work	chemistry	6					none	none		none	none																		
159		1	en	male	berlin	berlin	deutschland																																		
160		0	en																																						
