id--Response_ID	submitdate--Date_submitted	lastpage--Last_page	startlanguage--Start_language	a03--Gender:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a06--City:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a05--State/Province:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a04--Country:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	b02--Formation_or_Concentration:__Please_tell_us_your_educational_background_(biology,_chemistry,_physics,_etc)	b01--Please_tell_us_the_highest_degree_achieved:	b03--Are_you_affiliated_with_any_institutions/groups/organizations?	b04--Could_you_tell_us_which_one(s)?	b05--If_you_are_in_an_academic_institution,_what_is_your_main_occupation:__ 	c01-- __Which_of_these_are_your_main_work_area?	c02--For_how_many_years_have_you_been_working_in_this_area?__ 	e01--How_do_you_perceive_research_equipment_access_inside_your_group/institution?	e03--Could_you_explain_a_bit_your_previous_answer?	e02--Which_of_the_following_do_you_consider_to_be_the_biggest_difficulty_in_equipment_access?	e04[SQ001]--Which_equipments/tools_are_most_used_in_your_lab/workspace?_[Most_used:]	e04[SQ002]--Which_equipments/tools_are_most_used_in_your_lab/workspace?_[Second_most_used_(if_any):]	e04[SQ003]--Which_equipments/tools_are_most_used_in_your_lab/workspace?_[Third_most_used_(if_any):]	e08[SQ001]--If_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_PCR_machine)_[Equipment_1:]	e08[SQ002]--If_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_PCR_machine)_[Equipment_2_(if_any):]	e08[SQ003]--If_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_PCR_machine)_[Equipment_3(if_any):]	e05--Was_there_ever_a_need_to_change_a_project_due_to_problems_related_to_equipment_use/access?	e06--Could_you_tell_us_which_equipment_caused_the_change?_(please_try_to_avoid_acronyms, _use_thermocycler_instead_of_PCR_machine).	e07--In_case_any_projects_had_to_be_changed_due_to_access/problems,_could_you_tell_us_why?	d01--Do_you_use_Open_Technologies*_in_your_work/research/projects?__ __*Any_tools,_code_or_equipment_based_on_open_source_(build,_calibration_plans,_and/or_code_freely_distributed)__ 	d04--Which_ones?_(Please_list_all_that_you_remember._Separate_them_with_commas:_ImageJ,_Python,_Ubuntu,_OpenPCR,_etc)	d02--Do_you_know_anyone_who_is_using_open_technologies?	d05--Could_you_tell_us_what_they_are_using?_(Please_list_all_that_you_remember._Separate_them_with_commas:_ImageJ,_Python,_Ubuntu,_OpenPCR,_etc)	d03--Do_you_know_any_scientific_equipment_that_is_open_source?	d06--Which_ones_(please_list_all_that_you_know/remember._Separate_them_with_commas:_OpenPCR,_OpenEphys,_etc)	f01--Would_you_consider_buying_equipment_from_new_brands?	f08--Could_you_tell_us_why?	f02--Would_you_consider_building_laboratory_equipment_yourself,_if_you_were_given_a_list_of_necessary_components_and_the_building_and_calibration_manuals?	f09--Could_you_tell_us_why?	f03--Have_you_ever_tested_equipment_from_less_known/new_brands?	f04--You_did_it_because:	f05--Have_you_ever_built_laboratory_equipment_yourself?	f06--Could_you_please_tell_us_a_bit_more_about_it?	f07--Would_you_like_to_test_research_equipment_from_new_brands_or_distributed_under_DIY_paradigm?
76		5	en	Male				Biology	PhD	Yes	Universidad de Sevilla	Researcher	Biology	20	Partially satisfactory		Certain types of equipment are not available	Spectrophotometer	Electrophoresis	none	Thermocycler	Spectrophotometer	Chemostats	Yes		Equipment unavailable (other reasons than being broken)	No		Yes	"ImageJ
Phython
"	No										
77		4	en	Female	London	London	United Kingdom	Biology	PhD	Yes	The Francis Crick Institute	Researcher	Biology	10	Partially satisfactory	There is funding to buy comercial equipment. We also have a Making lab, an equipment care unit and a mechanical workshiop but they are unable to build custom made equipment if it requires putting together hardware and electronics.	Certain types of equipment are not available	Molecular biology equipment	Animal behaviour equipment	Neuroscience electrophysiology equipment	Two photon microscope	Gass-chromatography mass spectrometry machine	Olfactometer	No																	
78		1	en	Male																																					
79		3	en	Female	Vienna	n/a	Austria	Biology	Masters	Yes	IST Austria	Student	Biology	5					none	none		None	None																		
80	2019-01-20 15:52:53	8	en	Male	St Louis	MO	USA	neuroscience	PhD	Yes	Washington University, OpenBehavior.org	Professor	Other	18	Partially satisfactory	"Our group focuses on behavioral neuroscience, and in particular feeding and obesity.  I have often seen a bottle-neck in equipment, in that commercial equipment for measuring feeding and metabolism is both expensive and takes up a lot of space.  So if we want to buy a commercial system for measuring food intake, we will pay about $5K per set-up (for each mouse we can run at one time), and we will need a special place to house it.  As a result of these two factors, most people studying feeding purchase systems of ~8-16 setups, at a cost of $40-80K.  Very few groups could afford more than this for equipment, and even if we did purchase 30 setups we'd need an extra room to house them in, which is hard to come by.  The problem with using 8-16 chambers is that feeding (like many other complex behaviors) is very variable between mice.  The norm in our field is ~8 mice/group, which I believe is linked to the availability of commercial equipment.  In the research groups I've been a part of that's been my experience. 
 However, when statistical power is calculated on feeding studies we are often woefully underpowered.  Ideally we would look at ~100 mice per group, but that's simply not an option.  So in that way, I find our equipment unsatisfactory, and my entry into the open source hardware community was the result of me trying to overcome this bottleneck.  On the other hand, much of our equipment is excellent and I am grateful to be able to be able to use it - this includes microscopes and ephys equipment.  A lot of engineering went into these systems and I think they are excellent (although expensive) products."	Too many users for a small number of equipment/tools	Behavioral monitoring equipment	Electrophysiology equipment	Microscopy	Electrophysiology rig	Laser uncaging system for electrophysiology rig	None	Yes	We usually design the power of our studies around available equipment and person-hours... I hate to say it but this becomes the decision-maker on group size more than statistical concerns	Equipment unavailable (other reasons than being broken)	Yes	Python, Bonsai, ImageJ, 	Yes	ImageJ, Python, Bonsai	Yes	FED, a lot of home-brew equipment 	Yes	I am not strongly tied to the brands we use, so if something came out that was a better fit for our research I'd definitely consider it!	Yes	Our lab has a lot of experience designing and building open-source behavioral equipment (https://hackaday.io/projects/hacker/294140) so I'm comfortable building others' projects.	Yes	Just to try out new things	Yes	We have built many devices for monitoring animal behavior (https://hackaday.io/projects/hacker/294140).  This effort in our lab started as a result of limited equipment for our experiments, and the inability to purchase more due to price and space limits.  	Yes
81	2019-01-20 17:14:03	8	en	Female		New Jersey	United States	Biology	PhD	Yes	Princeton	Researcher	Biology	8	Satisfactory			Animal operant behavior boxes	Surgery	Imaging brains	Confocal microscope	Soldering oven	Giant laser cutter	No			Yes	Python, Julia, ImageJ, OpenEphys, Bpod, miniscope, lots of open designs for optogenetics, imaging, electrophysiology, and behavior.	Yes	Julia, R, Python, ImageJ, OpenEphys, Bpod, miniscope, lots of open designs for optogenetics, imaging, electrophysiology, and behavior.	Yes	OpenEphys	Yes	If the documentation was clearer	Yes	I already do this	No		Yes	We build behavior setups and use open designs for electrophysiology optogenetics behavior and imaging	Yes
82	2019-01-20 19:42:41	8	en	Female	Dublin		Ireland	Biology	Bachelors of science	Yes		Researcher	Biology	7	Unsatisfactory		Too many users for a small number of equipment/tools	Microscopes	none	none	Light sheet microscope	None	None	Yes		Equipment unavailable (other reasons than being broken)	Yes	Imagej, python, 3D printed components from thingiverse	Yes	Imagej	No		Yes	I'm happy to try new things	Yes	 I've done this before	Yes	Needed to establish new protocols/experiments in the lab for which there were no options available in the market	Yes	DIY microscope, DIY syringe pump 	Yes
83		3	en	Male	Washington	DC	United States	Biology	PhD	Yes	NIH	Researcher	Biology	5					none	none		None	None																		
84		3	en	Male	Los Angeles	California	Usa	Neuroscience	PhD	Yes	Ucla	Professor	Biology	14					none	none		None	None																		
85		3	en	Female	Canberra	Australian Capital Territory	Australia	Biology	PhD	Yes	Australian national University	Researcher	Other	10					none	none		None	None																		
86		3	en	Male			germany	biology	PhD	Yes		Researcher	Biology	18					none	none		None	None																		
87	2019-01-20 21:32:34	8	en	Male	Vienna		Austria	Neuroscience	PhD	Yes	IST Austria	Professor	Other	20	Satisfactory	Fortunately, the institution provides a strong core infrastructure, we have enough funs to build the required equipment (perhaps not enough to buy it from the shelf)		Mulit-Photon	Behavioral Tracking	Electrophysiology	Pulsed Laser	None	None	No			Yes	Tracking software (DeepLabCut), ScanImage, ImageJ, Python	Yes	Tracking software (DeepLabCut), ScanImage, ImageJ, Python	Yes	OpenEphys	Maybe	If required.	Yes	Because it is an essential learning process for students. It is cheaper and although it might take a bit longer to get started, it pays back in time very quickly later on when troubleshooting.	Yes	Looking for affordable option	Yes	"Behavioral Setups
Stimulus equipment
Microscopes (Multi-photon, epiflurescent)"	Yes
88		4	en	Male				Biology	PhD	Yes		Professor	Biology	14	Unsatisfactory	A lot of equipments were destroyed by Isis and Militia, the remaining ones are simple so you need to travels elsewhere to do research or you have to pay a lot of money by sending it abroad  	Certain types of equipment are not available	Microscopy	Autoclave	PCR 	UHPLC	Fluorescent microscope	Minion millipore sequencing 	Yes	HPLC, Real time PCR,	Equipment unavailable (other reasons than being broken)															
89		-1	en																																						
90			en																																						
91	2019-01-21 10:01:15	8	en	Female	London		United Kingdom	Biology	PhD	Yes	The Francis Crick Insitute	Researcher	Biology	10	Satisfactory	We are very well funded, although we are missing a workshop able to develop custom equipment		Molecular biology tools	Two photon microscope	Electrophysiology	High throughput behavioural arena	Two photon microscope	None	No			Yes	ImageJ, Python, R	Yes	ImageJ, Python, R, OpenPCR	Yes	OpenPCR, FlyPi	Yes	Why not?	Yes	I would consider doing this, although I am not sure if I would have time for it. I would prefeer if there would be someone at my institution whose job would be to do this.	Yes	Needed to establish new protocols/experiments in the lab for which there were no options available in the market	Yes	Just small simple things like optogenetic behavioural arenas	Yes
92		3	en		London		UK	Biology/Biophysics	PhD	Yes	The Francis Crick Institute	Researcher	Other	8					none	none		None	None																		
93			en																																						
94	2019-01-21 10:21:35	8	en	Male	London		United Kingdom	Btech Biotechnology. PhD Neuroscience	PhD	Yes	The Francis Crick Institute	Researcher	Biology	9	Satisfactory	We have access to state of the art instruments. Hoever, often we need to build customised small equipments for our daily needs in our experimental work.		Patch clamp rig	Computer	Soldering iron	Patch clamp amplifier	None	None	No			Yes	Python programming language	Yes	Python, openEphys, bonsai	Yes	openEphys	Yes	Sometimes they give us better support and are lot cheaper than the already established brands	Yes	When funds become a constraint, you would need to build some small equipments.	Yes	Needed to establish new protocols/experiments in the lab for which there were no options available in the market	Yes	Building arduino based small robots to do stereotyped works.	Yes
95	2019-01-21 10:25:10	8	en	Female				Biology	PhD	Yes	Crick	Researcher	Biology	10	Satisfactory			Microcsopes, electrophysiology equipment (pipettes, head stages, slicers, stereotax frames), optogenetics equipment (lasers, LEDs, light fibers)	none	none	two photon microscope	None	None	No			Yes	ImageJ, Python	Yes	ImageJ, Python	No		Yes	If a new brand has something you need, it doesn't matter that it's a new brand.	Yes	If budget limited, of course. If not, better the spend the money than the time. Time best spent on data collection if possible.	Yes	Only available brand	Yes	Custom photometry rigs, behaviour mazes, brain implants	No
96	2019-01-21 10:23:50	8	en	Male	London		UK	Biology	PhD	Yes	The Francis Crick Institute	Researcher	Biology	8	Satisfactory			Drosophila tube and medium	Microscope	Software for image analysis	Ultra resolution microscope	None	None	No			Yes	FIJI, VLC, Slack	Yes	FIJI, VLC, Slack	No		Maybe	If the brand provide better services	Yes	If it reduce the price	No		No		Yes
97		1	en																																						
98		3	en	Male	Boston	Massachusetts	United States	Neuroscience	PhD	Yes	Harvard	Researcher	Other	10					none	none		None	None																		
99		3	en	Female				chemistry	PhD	Yes		Professor	Biology	23					none	none		None	None																		
100			en																																						
101	2019-01-21 16:00:07	8	en	Female	Montreal		Canada	Psychology	Masters	Yes	McGill University	Student	Other	5	Partially satisfactory	MRI machines are manufactured by large multinational companies and their software is therefore proprietary. It would be preferable if we could run open-source software on these machines to better control our acquisition sequences.	The amount of time necessary to repair/calibrate existing equipment	Magnetic Resonance Imaging Scanner	none	none	Mobile magnetoencephalography system	None	None	No			Yes	Ubuntu, Bash, Python, Git, Docker	Yes	Ubuntu, Bash, Python, Git, Docker	No		Yes	If a brand was distributing open-source software to manage their acquisition sequences, I would prefer to use open-source technologies.	Yes	To better understand the acquisition process.	No		No		Yes
102	2019-01-21 18:41:38	8	en	Male	Kilifi		Kenya	Biology	PhD	Yes	KEMRI-Wellcome Trust	Student	Biology	8	Partially satisfactory		Certain types of equipment are not available	PCR Thermocyclers	none	none	Thermocycler	Robot rna extractor	None	Yes	Illumina MiSeq	Consumables were not available	Yes	Python, Perl, Linux, Tor, Mendeley	Yes	Same as above	No		Yes	As long as the description of what it does fits my needs and most likely cost effective, I would buy	Yes	I love building things, so it would be fun to.	No		No		Yes
103		3	en	Male	Barcelona	Barcelona	España	Physics	PhD	Yes	IDIBAPS	Researcher	Biology	19					none	none		None	None																		
104		3	en	Male				Biochemistry 	PhD	Yes	University of Ghana 	Researcher	Biology	10					none	none		None	None																		
105	2019-01-22 11:28:18	8	en	Female	Cape Town	Western Cape	South Africa	molecular genetics, bioinformatics, epidemiology/biostats	PhD	Yes	UCT	Researcher	Health	20	Satisfactory	Sufficient compute power for what I need to do		servers 	PCs	none	Microserver	None	None	No			Yes	"R,python, mysql,  thunderbird, firefox, 
RedCAP (freeware, but not strictly open source)
"	Yes	R,python, mysql,  thunderbird, firefox, ubuntu	No		Maybe	Depends on ability to validate quality (no history to refer to)	Yes	flexibility and cost, understanding functioning fully	No		No		No
106		3	en	Male	London	London	United Kingdom	Physics & Neuroscience	PhD	Yes	Francis Crick institute, UCL	Professor	Other	20					none	none		None	None																		
107	2019-01-22 13:13:37	8	en	Male	Iowa City	Iowa	United States	Neuroscience	Bachelors of art	Yes	University of Iowa	Student	Other	5	Partially satisfactory	Relative to other institutions, our Magnetic Resonance Imagining (MRI) machine has good availability, but it can still be difficult to schedule time to use the machine. Additionally, it would be nice to have more support staff sorrounding the MRI to work with researchers and physists to develop sequences. Finally, more infrastructure to download and process the data collected would be excellent.	Too many users for a small number of equipment/tools	High Performance Computing Cluster	MRI	none	MRI processing software	Magnetic Resonance Imaging machine	None	Yes	Magnetic Resonance Imaging Machine		Yes	Python, Ubuntu, R, git, online data repositories	Yes	Python, Ubuntu, R, git, online data repositories	No		Yes	Brand loyalty doesn't determine how good a tool is.	Yes	It could be fun, (probably couldn't build a Magnetic Resonance Imaging Machine though)	No		No		Yes
108	2019-01-22 14:22:32	8	en	Male			UK	biology - biochemistry, cell biology, immunology, structural biology	PhD			Researcher	Biology	15	Partially satisfactory		Certain types of equipment are not available	Chromatography - Akta protein purification	Confocal microscope	Mass spectrometer	Mass spectrometer	Airyscan confocal microscope	Dynamic Light scattering	No			No		No		No		Maybe	In an ideal setting, as long as the piece of equipment is shown to perform well, branding should not affect choice. However, with the number of choices increasingly becoming available, I tend to go with the well established or leading brands for most equipment. For instance, that would mean an Akta from GE rather than another company, or a confocal microscope from Zeiss rather than a new brand.	No	Possibly yes. Time is the biggest constraint and for complex sophisticated pieces of equipment, I am not sure. 	Yes	Looking for affordable option	No		Yes
109	2019-01-22 14:26:11	8	en	Male	Cologne	NRW	Germany	Biology	PhD	Yes	Max Planck Society	Professor	Biology	16	Satisfactory	I have freedom to choose/purchase equipment to access either within my group or within the institute.  		Thermocyclers and gel station	microinjectors	sterescopes	morbidostat	drone for aerial survey of field station	None	No			No		No		No		Yes	Why not? If the technology is new and only available from the new brand, I would totally go for it. 	Yes	I like tinkering - I like to have a basic understanding for the basic components of the equipment we use. It helps me even design better experiments.	No		No		Yes
110	2019-01-22 14:26:26	8	en	Male				biology	PhD	Yes	Institute of Microbiology, Czech Academy of Sciences	Researcher	Biology	13	Partially satisfactory		Certain types of equipment are not available	ELISA reader	real-time thermocycler	none	microspectrophotometer (nanodrop)	dual X-ray absorptimeter	plethysmograph	No			Yes	ImageJ, Inkscape	Yes	ImageJ, Ubuntu	No		Maybe	If they offer any advantage over the old brands.	Yes	Science is problem-solving. This is just part of it.	No		No		Yes
111		1	en	Male	Singapore																																				
112	2019-01-22 14:47:36	8	en	Male	Prague		Czech Republic	biology	PhD	Yes	Academy of Sciences of CR	Professor	Biology	20	Partially satisfactory	"some equipment available via facilities
other type of equipment owned by individual groups and consent needed
some equipment not available in the institute"	Certain types of equipment are not available	centrifuges	electrophoresis aparatus	biosafety cabinets	liquid chromatography purification station	total-internal-reflection fluorescence microscope	camera for single molecule imaging	No			Yes	FIJI, Micromanager, APE	Yes	ImageJ	Yes	OpenSpim	Yes	If cheaper but looks robust enough	No	No time 	Yes	Looking for affordable option	No		Yes
113	2019-01-22 14:48:35	8	en	Male	Brno	Moravia	Czech Republic	Pharmacy	PhD	Yes	CEITEC MU	Researcher	Other	24	Satisfactory	New Research Institute with top equipment which will become old one day...		FPLC	thermocycler	Electrophoresis	table top centrifuges	-80C freezer	small shakers	No			Yes	ImageJ, Pymol, Sparky, Chimera, molmol, Centos, Python, DNA Strider, pDraw, etc, etc	No		No		Maybe	Noname brands often made in China break earlier	Yes	Cheaper and fun!	Yes	Looking for affordable option	No		Yes
114	2019-01-22 14:51:56	8	en	Male	Oxford		UK	biology	PhD	Yes	University of Oxford	Professor	Biology	16	Satisfactory	We have easy access to state-of-the-art equipment via core facilities.		molecular biology (PCR, etc)	flow cytometry	next gen sequencing	Hyperion (imaging CyOF)	None	None	No			I wouldn't know		I wouldn't know		No		Yes	to get access to the latest technologies	No	like to focus on hypothesis driven research	Yes	Brand was recommended by a colleague	No		No
115		1	en	Female																																					
116		1	en	Male																																					
117		1	en																																						
118		3	en	Female	Zurich	Zürich	Switzerland	Engineering	Masters	Yes	University of Zurich	Student	Engineering	3					none	none		None	None																		
119	2019-01-23 08:44:08	8	en	Female	Tuebingen	Baden-Wuerttemberg	Germany	Biology	Masters	Yes	University of Tuebingen	Researcher	Biology	5	Satisfactory			Two-photon microscope	Confocal microscope	none	Multi-electrode array	None	None	No			Yes	Python, ImageJ	Yes	ImageJ, Python	No		Maybe	Maybe because they are less expensive.	Yes	We can customize things according to our need and will also learn the basic working principle of the equipment which would also help in solving technical issues that comes during the experiment.	No		No		Yes
120	2019-01-23 10:37:39	8	en	Female				Biology	PhD	Yes	Private basic research institute	Professor	Biology	18	Satisfactory			dissection microscopes	pipettes	thermocycler	confocal microscope	next generation sequencer	None	No			No		I wouldn't know		No		Maybe	I would like to know if other colleagues have good experience with a new brand first. Of course, it depends on the level of sophistication of the piece of equipment and how easy it would be for me to asses if the equipment fails or is imprecise in any way.	Yes	Again it would depend on the sophistication of the equipment and the relative cost (not just price, but maintenance, and also environmental friendliness). 	Yes	Only available brand	No		Yes
121		4	en	Female			Germany	neuroscience	Masters	Yes	NMI/MCS	Student	Biology	7	Partially satisfactory	The variety is sufficient, the quality is something debatable.	The amount of time necessary to repair/calibrate existing equipment	microelectride array	computer	none	a decent light stimulation setup	a good camara	None	Yes		Equipment unavailable (other reasons than being broken)															
122		3	en	Male	Portland	Oregon	United States	Bioinformatics	PhD	Yes	Oregon Health & Science University	Professor	Other	15					none	none		None	None																		
123	2019-01-23 15:53:33	8	en	Male	Warsaw	Mazowieckie	Poland	Biolgy	Masters	Yes	Nencki Institute	Student	Biology	5	Satisfactory			cages for behavioral research, microscopes, software for analysis of behavioral data	none	none	two photon microscope for calcium imaging	None	None	No			Yes	Python, Ubuntu, Arduino, Bonsai, Miniscope, OpenEphys	Yes	The same as me	Yes	Miniscope, OpenEphys, 	No	I do not ned it at this point	Yes	Im doing it actually, its cheap and gives much more control	Yes	Looking for affordable option	Yes	I built a controller for a laser for oprogenetic experiments, automated doors for a cage	Yes
124		3	en	Male	Paris		France	Computer Science / Computational Neuroscience	PhD	Yes	Sorbonne University	Researcher	Other	13					none	none		None	None																		
125		2	en					Psychology	PhD	Yes			Arts																												
126	2019-01-23 16:21:42	8	en	Male	San Jose	California	United States	Biology, Genetics, high-throughput yeast genetics using barcode sequencing	PhD	Yes	NIST, Stanford	Researcher	Biology	7	Satisfactory	I'm in a new lab flush with startup gear and leftovers from an old lab that just left. We are very well set up.		Pipette	Centrifuge	Nanodrop	Very high speed centrifuge (50mL's at 15krcf)	None	None	No			Yes	"Ubuntu, Firefox, Singularity, Nextflow, R, Python, GIMP

My computer is all FOSS."	Yes	Just code, as above.	No		Yes	"If it filled a need. Example, I didn't know there are plate-filling robots (384 well format), and it makes some work we do way more feasible for one person to do.

But, I don't make the decisions about these kinds of things and have only made use with what we have. I'd like to take a more active role in the future."	Yes	"I just remembered that I'm very intent on building an Ingolia Turbidostat.
https://github.com/ingolia-lab/turbidostat/tree/master/mcgeachy-2018
I've built one turbidostat prototype and troubleshot another type of these.

These are a better way of culturing pooled libraries for sequencing-based pooled screens. That might make pooled screens (so no need for robotics) more precise, and maybe more accessible to others."	No		Yes	It was a turbidostat prototype, not good enough to actually use for experiments but it gave me the confidence to pursue building another better design (planning that now).	Yes
127	2019-01-23 16:46:05	8	en	Male			France	Biology	Masters	Yes		Student	Biology	5	Partially satisfactory	Not compatible with all operating systems. Works exclusively with proprietary software	The amount of time necessary to repair/calibrate existing equipment	photospectrometer	transmission electronic microscope	none	None	None	None	Yes		Equipment unavailable (other reasons than being broken)	Yes	Firefox, Ubuntu, R, RStudio, LaTeX, pandoc, vim, python, zotero	Yes	Firefox, Ubuntu, R, RStudio, LaTeX, pandoc, vim, python, zotero	No		Maybe	Science is highly competitive and some projects require fast results. I can not afford buying a broken/unfit piece of equipment. I therefore need to trust the brand. Trust might come from previous purchases. But it might also come from other places so I'm not totally reluctant to this idea	Yes	Probably easier to replace broken parts	No		No		Yes
128		3	en	Female	Gatineau	Quebec	Canada	Ecology	PhD	Yes	Code for Science and Society	Researcher	Biology	3					none	none		None	None																		
129		3	en	Female				Psychology	Masters	Yes		Student	Other	6					none	none		None	None																		
130		3	en	Male	Atlanta	Georgia	United States	biology	PhD	Yes	Emory University	Researcher	Computer science	1					none	none		None	None																		
131		2	en	Female				Neuroscience 	PhD	Yes			Arts																												
132	2019-01-23 18:10:43	8	en	Male			France	psychology, neuroscience, image processing	PhD	Yes	INRA	Researcher	Other	10	Partially satisfactory	we have lots of equipment but there is a cost to using it	Other	MRI	none	none	an MRI at a Tesla higher than 3	None	None	No			Yes	Python, ImageJ, ITKsnap, ANTS, FSL, SPM, Freesurfer,	Yes	Python, ImageJ, ITKsnap, ANTS, FSL, SPM, Freesurfer,	No		Yes	why not	Yes	why not	No		No		Yes
133	2019-01-23 18:57:47	8	en	Male	Glasgow		Scotland, United Kingdom	MEng in microelectronics & photonics, DEng in medical devices	PhD	Yes	University of Strathclyde	Researcher	Biology	8	Satisfactory	I work in quite a collaborative institute where many PIs are happy to share their equipment (although for some there is a monetary cost)		Fluorescence microscope systems	Patch clamp	western blotting	Spinning disk confocal micrscope	3d printer	wire myograph	No			Yes	ImageJ & FIJI, uManager, Python, VasoTracker!	Yes	ImageJ & FIJI, uManager, Python	Yes	OpenSPIN, OpenSPIM, Arduino, OpenPCR, OpenEphys, Prometheus, FlyPI, VasoTracker	Yes	I will always assess value for money. However, if I can build a better one myself then I will!	Yes	Lab equipment is unnecessarily expensive and often only designed for specific tasks. I would prefer to build things that are useful for exactly what I want to do!	No		Yes	VasoTracker (open source pressure myograph system, see www.vasotracker.com)	Yes
134		7	en					A	Bachelors of science			Researcher	Health	2	Satisfactory			Eeg	none	none	Tilt machine	None	None	I wouldn't know			Yes	Eeglab	I wouldn't know		No		Yes	G	Yes	H	No		Yes	G	Yes
135			en																																						
136		2	en	Male	Kiifi		Kenya	Biology	PhD	Yes	Pwani university	Professor	Biology	10																											
137			en																																						
138		3	en	Female	Columbia	MO	USA	Physiology and Pharmacology	PhD	Yes	University of Missouri	Professor	Other	13					none	none		None	None																		
139	2019-01-23 23:11:53	8	en	Male	Paris		France	Biology 	PhD	Yes	CNRS INSERM 	Researcher	Biology	20	Partially satisfactory	Nice core facilities but expensive 	Too many users for a small number of equipment/tools	behavioural setup	Surgery room	Electrophysiology rig	Optical imaging miniscope in vivo	Wireless optogenetic stimulation	Electrophysiology extracellular recording setup	No			Yes	OpenEphys, UCLA miniscope, FED (3D printed feeder), ImageJ, Python, Github	Yes	OpenEphys, UCLA miniscope, FED (3D printed feeder), ImageJ, Python, Github	Yes	OpenEphys, UCLA miniscope, FED (3D printed feeder), Cyclops	Yes	Sometimes worth the price if too technical	Yes	We are already doing so. Cheaper, more flexibility to modify	Yes	Needed to establish new protocols/experiments in the lab for which there were no options available in the market	Yes	High throughput operant chamber for mice. Compatible with chronic recording and optogenetic protocols. Necessary to run complex behavioural tasks. Publication soon.	Yes
140	2019-01-24 00:50:37	8	en	Male	Pasadena	California	USA	Mech Eng	Bachelors of science	Yes	Caltech	Student	Biology	1	Partially satisfactory	Few of certain types of machines, hard to get time on them. Time lags for buying new equiptment 	Too many users for a small number of equipment/tools	Microscope	Syringe pump	Gel Imager	10X single cell sequencing machine	Top of the line Nikon microscope 	F2 Excimer Laser	I wouldn't know			Yes	"Python
Arduino
ImageJ
poseidon (I developed)"	Yes	Same as above. We have user of the poseidon system. 	Yes	"Open PCR
Open trons
poseidon
Open source centrifuge
Open source e-wetting machine "	Maybe	Cost and performance is important to consider. 	Yes	I have complete control over the operation of the drive (as long as it works as well as I’d like it to.)	No		Yes	poseidon syringe pump and microscope is an open source system that I developed	Yes
141	2019-01-24 03:57:29	8	en	Male	Paris 		France	Biology 	PhD	Yes	CNR S	Researcher	Biology	30	Satisfactory			Electrophysiology rigs	2-photon microscopes 	Confocal miceoscopes	2-photon microscopes 	Miniendoscopes	Electrophysiology rigs for in vivo recordings	No			Yes	Image. Python. 	Yes	Imaje J python openephys	Yes	Openephys	Maybe	Test	No	Too complicated.too much time to invest. Lack of support 	Yes	Looking for affordable option	Yes	Computers 	Yes
142		3	en	Female	Langenau		Germany	IT & Business & Engineering	PhD	Yes	acm, webgrrls.de, DHBW (university)	Professor	Other	16					none	none		None	None																		
143		3	en	Female	Montpellier		France	evolutionary biology, ecology	PhD	Yes	Institut National de la Recherche Agronomique	Researcher	Biology	8					none	none		None	None																		
144	2019-01-24 10:39:02	8	en					Biology	PhD	Yes		Researcher	Biology	28	Satisfactory			Confical microscopes	Custom built behavioural equipment	none	Two-photon microscope	Super resolution microscope	Build more customised behavioural equipment	No			Yes	FIJI	I wouldn't know		No		Yes	Why not! As long as the equipment fits a need, who cares about the brand!	Yes	Because that would create equipment customised to my needs	Yes	Needed to establish new protocols/experiments in the lab for which there were no options available in the market	Yes	My team has recently started to build customised behavioural equipment for fruit flies	Yes
145			en																																						
146		5	en	Male	Paris		France	Biology, Computer science	PhD	Yes	Center for Research and Interdisciplinarity	Researcher	Biology	18	Satisfactory			Incubator	Thermocycler	Confocal microscope	Confocal microscope	Liquid handling station	Fluorescent stereomicroscope	Yes	Confocal microscope	Equipment broke and it took too much time to repair it	Yes	ImageJ, Python, Linux, EMBOSS, PHP, Java, MariaDB, 	Yes	ImageJ, Python, Linux, EMBOSS, PHP, Java, MariaDB, OpenSPIM	Yes	OpenSPIM, OpenPCR									
147		3	en	Female	Langenau		Germany	IT & Engineering	PhD	Yes	DHBW	Professor	Computer science	13					none	none		None	None																		
148			en																																						
