Gender:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,Gender:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it. [Other],City:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,State/Province:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,Country:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,"Formation or Concentration:  Please tell us your educational background (biology, chemistry, physics, etc)",Please tell us the highest degree achieved:,Please tell us the highest degree achieved: [Other],Are you affiliated with any institutions/groups/organizations?,Could you tell us which one(s)?,"If you are in an academic institution, what is your main occupation:   ",Which of these are your main work area,Which of these are your main work area [Other],For how many years have you been working in this area?   ,How do you perceive research equipment access inside your group/institution?,How do you perceive research equipment access inside your group/institution? [Other],Could you explain a bit your previous answer?,Which of the following do you consider to be the biggest difficulty in equipment access?,Which of the following do you consider to be the biggest difficulty in equipment access? [Other],Which equipments/tools are most used in your lab/workspace? [Most used:],Which equipments/tools are most used in your lab/workspace? [Second most used (if any):],Which equipments/tools are most used in your lab/workspace? [Third most used (if any):],"If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 1:]","If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 2 (if any):]","If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 3(if any):]",Was there ever a need to change a project due to problems related to equipment use/access?,"Could you tell us which equipment caused the change? (please try to avoid acronyms,  use thermocycler instead of PCR machine).","In case any projects had to be changed due to access/problems, could you tell us why?","Do you use Open Technologies* in your work/research/projects?     *Any tools, code or equipment based on open source (build, calibration plans, and/or code freely distributed)   ","Which ones? (Please list all that you remember. Separate them with commas: ImageJ, Python, Ubuntu, OpenPCR, etc)",Do you know anyone who is using open technologies?,"Could you tell us what they are using? (Please list all that you remember. Separate them with commas: ImageJ, Python, Ubuntu, OpenPCR, etc)",Do you know any scientific equipment that is open source?,"Which ones (please list all that you know/remember. Separate them with commas: OpenPCR, OpenEphys, etc)",Would you consider buying equipment from new brands?,Could you tell us why?,"Would you consider building laboratory equipment yourself, if you were given a list of necessary components and the building and calibration manuals?",Could you tell us why?,Have you ever tested equipment from less known/new brands?,You did it because:,Have you ever built laboratory equipment yourself?,Could you please tell us a bit more about it?,Would you like to test research equipment from new brands or distributed under DIY paradigm?
Female,,Vienna,n/a,Austria,Biology,Masters,,Yes,IST Austria,Student,Biology,,5,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,St Louis,MO,USA,neuroscience,PhD,,Yes,"Washington University, OpenBehavior.org",Professor,Other,Neuroscience,18,Partially satisfactory,,"Our group focuses on behavioral neuroscience, and in particular feeding and obesity.  I have often seen a bottle-neck in equipment, in that commercial equipment for measuring feeding and metabolism is both expensive and takes up a lot of space.  So if we want to buy a commercial system for measuring food intake, we will pay about $5K per set-up (for each mouse we can run at one time), and we will need a special place to house it.  As a result of these two factors, most people studying feeding purchase systems of ~8-16 setups, at a cost of $40-80K.  Very few groups could afford more than this for equipment, and even if we did purchase 30 setups we'd need an extra room to house them in, which is hard to come by.  The problem with using 8-16 chambers is that feeding (like many other complex behaviors) is very variable between mice.  The norm in our field is ~8 mice/group, which I believe is linked to the availability of commercial equipment.  In the research groups I've been a part of that's been my experience. 
 However, when statistical power is calculated on feeding studies we are often woefully underpowered.  Ideally we would look at ~100 mice per group, but that's simply not an option.  So in that way, I find our equipment unsatisfactory, and my entry into the open source hardware community was the result of me trying to overcome this bottleneck.  On the other hand, much of our equipment is excellent and I am grateful to be able to be able to use it - this includes microscopes and ephys equipment.  A lot of engineering went into these systems and I think they are excellent (although expensive) products.",Too many users for a small number of equipment/tools,,Behavioral monitoring equipment,Electrophysiology equipment,Microscopy,Electrophysiology rig,Laser uncaging system for electrophysiology rig,None,Yes,We usually design the power of our studies around available equipment and person-hours... I hate to say it but this becomes the decision-maker on group size more than statistical concerns,Equipment unavailable (other reasons than being broken),Yes,"Python, Bonsai, ImageJ, ",Yes,"ImageJ, Python, Bonsai",Yes,"FED, a lot of home-brew equipment ",Yes,"I am not strongly tied to the brands we use, so if something came out that was a better fit for our research I'd definitely consider it!",Yes,Our lab has a lot of experience designing and building open-source behavioral equipment (https://hackaday.io/projects/hacker/294140) so I'm comfortable building others' projects.,Yes,Just to try out new things,Yes,"We have built many devices for monitoring animal behavior (https://hackaday.io/projects/hacker/294140).  This effort in our lab started as a result of limited equipment for our experiments, and the inability to purchase more due to price and space limits.  ",Yes
Female,,,New Jersey,United States,Biology,PhD,,Yes,Princeton,Researcher,Biology,,8,Satisfactory,,,,,Animal operant behavior boxes,Surgery,Imaging brains,Confocal microscope,Soldering oven,Giant laser cutter,No,,,Yes,"Python, Julia, ImageJ, OpenEphys, Bpod, miniscope, lots of open designs for optogenetics, imaging, electrophysiology, and behavior.",Yes,"Julia, R, Python, ImageJ, OpenEphys, Bpod, miniscope, lots of open designs for optogenetics, imaging, electrophysiology, and behavior.",Yes,OpenEphys,Yes,If the documentation was clearer,Yes,I already do this,No,,Yes,We build behavior setups and use open designs for electrophysiology optogenetics behavior and imaging,Yes
Female,,Dublin,,Ireland,Biology,Bachelors of science,,Yes,,Researcher,Biology,,7,Unsatisfactory,,,Too many users for a small number of equipment/tools,,Microscopes,none,none,Light sheet microscope,None,None,Yes,,Equipment unavailable (other reasons than being broken),Yes,"Imagej, python, 3D printed components from thingiverse",Yes,Imagej,No,,Yes,I'm happy to try new things,Yes, I've done this before,Yes,Needed to establish new protocols/experiments in the lab for which there were no options available in the market,Yes,"DIY microscope, DIY syringe pump ",Yes
Male,,Washington,DC,United States,Biology,PhD,,Yes,NIH,Researcher,Biology,,5,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Los Angeles,California,Usa,Neuroscience,PhD,,Yes,Ucla,Professor,Biology,,14,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Canberra,Australian Capital Territory,Australia,Biology,PhD,,Yes,Australian national University,Researcher,Other,Neuroscience,10,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,,,germany,biology,PhD,,Yes,,Researcher,Biology,,18,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Vienna,,Austria,Neuroscience,PhD,,Yes,IST Austria,Professor,Other,Neuroscience,20,Satisfactory,,"Fortunately, the institution provides a strong core infrastructure, we have enough funs to build the required equipment (perhaps not enough to buy it from the shelf)",,,Mulit-Photon,Behavioral Tracking,Electrophysiology,Pulsed Laser,None,None,No,,,Yes,"Tracking software (DeepLabCut), ScanImage, ImageJ, Python",Yes,"Tracking software (DeepLabCut), ScanImage, ImageJ, Python",Yes,OpenEphys,Maybe,If required.,Yes,"Because it is an essential learning process for students. It is cheaper and although it might take a bit longer to get started, it pays back in time very quickly later on when troubleshooting.",Yes,Looking for affordable option,Yes,"Behavioral Setups
Stimulus equipment
Microscopes (Multi-photon, epiflurescent)",Yes
Male,,,,,Biology,PhD,,Yes,,Professor,Biology,,14,Unsatisfactory,,"A lot of equipments were destroyed by Isis and Militia, the remaining ones are simple so you need to travels elsewhere to do research or you have to pay a lot of money by sending it abroad  ",Certain types of equipment are not available,,Microscopy,Autoclave,PCR ,UHPLC,Fluorescent microscope,Minion millipore sequencing ,Yes,"HPLC, Real time PCR,",Equipment unavailable (other reasons than being broken),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,London,,United Kingdom,Biology,PhD,,Yes,The Francis Crick Insitute,Researcher,Biology,,10,Satisfactory,,"We are very well funded, although we are missing a workshop able to develop custom equipment",,,Molecular biology tools,Two photon microscope,Electrophysiology,High throughput behavioural arena,Two photon microscope,None,No,,,Yes,"ImageJ, Python, R",Yes,"ImageJ, Python, R, OpenPCR",Yes,"OpenPCR, FlyPi",Yes,Why not?,Yes,"I would consider doing this, although I am not sure if I would have time for it. I would prefeer if there would be someone at my institution whose job would be to do this.",Yes,Needed to establish new protocols/experiments in the lab for which there were no options available in the market,Yes,Just small simple things like optogenetic behavioural arenas,Yes
,,London,,UK,Biology/Biophysics,PhD,,Yes,The Francis Crick Institute,Researcher,Other,Neuroscience,8,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,London,,United Kingdom,Btech Biotechnology. PhD Neuroscience,PhD,,Yes,The Francis Crick Institute,Researcher,Biology,,9,Satisfactory,,"We have access to state of the art instruments. Hoever, often we need to build customised small equipments for our daily needs in our experimental work.",,,Patch clamp rig,Computer,Soldering iron,Patch clamp amplifier,None,None,No,,,Yes,Python programming language,Yes,"Python, openEphys, bonsai",Yes,openEphys,Yes,Sometimes they give us better support and are lot cheaper than the already established brands,Yes,"When funds become a constraint, you would need to build some small equipments.",Yes,Needed to establish new protocols/experiments in the lab for which there were no options available in the market,Yes,Building arduino based small robots to do stereotyped works.,Yes
Female,,,,,Biology,PhD,,Yes,Crick,Researcher,Biology,,10,Satisfactory,,,,,"Microcsopes, electrophysiology equipment (pipettes, head stages, slicers, stereotax frames), optogenetics equipment (lasers, LEDs, light fibers)",none,none,two photon microscope,None,None,No,,,Yes,"ImageJ, Python",Yes,"ImageJ, Python",No,,Yes,"If a new brand has something you need, it doesn't matter that it's a new brand.",Yes,"If budget limited, of course. If not, better the spend the money than the time. Time best spent on data collection if possible.",Yes,Only available brand,Yes,"Custom photometry rigs, behaviour mazes, brain implants",No
Male,,London,,UK,Biology,PhD,,Yes,The Francis Crick Institute,Researcher,Biology,,8,Satisfactory,,,,,Drosophila tube and medium,Microscope,Software for image analysis,Ultra resolution microscope,None,None,No,,,Yes,"FIJI, VLC, Slack",Yes,"FIJI, VLC, Slack",No,,Maybe,If the brand provide better services,Yes,If it reduce the price,No,,No,,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Boston,Massachusetts,United States,Neuroscience,PhD,,Yes,Harvard,Researcher,Other,Neuroscience,10,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,,,,chemistry,PhD,,Yes,,Professor,Biology,,23,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Montreal,,Canada,Psychology,Masters,,Yes,McGill University,Student,Other,Neuroscience,5,Partially satisfactory,,MRI machines are manufactured by large multinational companies and their software is therefore proprietary. It would be preferable if we could run open-source software on these machines to better control our acquisition sequences.,The amount of time necessary to repair/calibrate existing equipment,,Magnetic Resonance Imaging Scanner,none,none,Mobile magnetoencephalography system,None,None,No,,,Yes,"Ubuntu, Bash, Python, Git, Docker",Yes,"Ubuntu, Bash, Python, Git, Docker",No,,Yes,"If a brand was distributing open-source software to manage their acquisition sequences, I would prefer to use open-source technologies.",Yes,To better understand the acquisition process.,No,,No,,Yes
Male,,Kilifi,,Kenya,Biology,PhD,,Yes,KEMRI-Wellcome Trust,Student,Biology,,8,Partially satisfactory,,,Certain types of equipment are not available,,PCR Thermocyclers,none,none,Thermocycler,Robot rna extractor,None,Yes,Illumina MiSeq,Consumables were not available,Yes,"Python, Perl, Linux, Tor, Mendeley",Yes,Same as above,No,,Yes,"As long as the description of what it does fits my needs and most likely cost effective, I would buy",Yes,"I love building things, so it would be fun to.",No,,No,,Yes
Male,,Barcelona,Barcelona,España,Physics,PhD,,Yes,IDIBAPS,Researcher,Biology,,19,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,,,,Biochemistry ,PhD,,Yes,University of Ghana ,Researcher,Biology,,10,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Cape Town,Western Cape,South Africa,"molecular genetics, bioinformatics, epidemiology/biostats",PhD,,Yes,UCT,Researcher,Health,,20,Satisfactory,,Sufficient compute power for what I need to do,,,servers ,PCs,none,Microserver,None,None,No,,,Yes,"R,python, mysql,  thunderbird, firefox, 
RedCAP (freeware, but not strictly open source)
",Yes,"R,python, mysql,  thunderbird, firefox, ubuntu",No,,Maybe,Depends on ability to validate quality (no history to refer to),Yes,"flexibility and cost, understanding functioning fully",No,,No,,No
Male,,London,London,United Kingdom,Physics & Neuroscience,PhD,,Yes,"Francis Crick institute, UCL",Professor,Other,Neuroscience,20,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Iowa City,Iowa,United States,Neuroscience,Bachelors of art,,Yes,University of Iowa,Student,Other,Neurosciences,5,Partially satisfactory,,"Relative to other institutions, our Magnetic Resonance Imagining (MRI) machine has good availability, but it can still be difficult to schedule time to use the machine. Additionally, it would be nice to have more support staff sorrounding the MRI to work with researchers and physists to develop sequences. Finally, more infrastructure to download and process the data collected would be excellent.",Too many users for a small number of equipment/tools,,High Performance Computing Cluster,MRI,none,MRI processing software,Magnetic Resonance Imaging machine,None,Yes,Magnetic Resonance Imaging Machine,,Yes,"Python, Ubuntu, R, git, online data repositories",Yes,"Python, Ubuntu, R, git, online data repositories",No,,Yes,Brand loyalty doesn't determine how good a tool is.,Yes,"It could be fun, (probably couldn't build a Magnetic Resonance Imaging Machine though)",No,,No,,Yes
Male,,,,UK,"biology - biochemistry, cell biology, immunology, structural biology",PhD,,,,Researcher,Biology,,15,Partially satisfactory,,,Certain types of equipment are not available,,Chromatography - Akta protein purification,Confocal microscope,Mass spectrometer,Mass spectrometer,Airyscan confocal microscope,Dynamic Light scattering,No,,,No,,No,,No,,Maybe,"In an ideal setting, as long as the piece of equipment is shown to perform well, branding should not affect choice. However, with the number of choices increasingly becoming available, I tend to go with the well established or leading brands for most equipment. For instance, that would mean an Akta from GE rather than another company, or a confocal microscope from Zeiss rather than a new brand.",No,"Possibly yes. Time is the biggest constraint and for complex sophisticated pieces of equipment, I am not sure. ",Yes,Looking for affordable option,No,,Yes
Male,,Cologne,NRW,Germany,Biology,PhD,,Yes,Max Planck Society,Professor,Biology,,16,Satisfactory,,I have freedom to choose/purchase equipment to access either within my group or within the institute.  ,,,Thermocyclers and gel station,microinjectors,sterescopes,morbidostat,drone for aerial survey of field station,None,No,,,No,,No,,No,,Yes,"Why not? If the technology is new and only available from the new brand, I would totally go for it. ",Yes,I like tinkering - I like to have a basic understanding for the basic components of the equipment we use. It helps me even design better experiments.,No,,No,,Yes
Male,,,,,biology,PhD,,Yes,"Institute of Microbiology, Czech Academy of Sciences",Researcher,Biology,,13,Partially satisfactory,,,Certain types of equipment are not available,,ELISA reader,real-time thermocycler,none,microspectrophotometer (nanodrop),dual X-ray absorptimeter,plethysmograph,No,,,Yes,"ImageJ, Inkscape",Yes,"ImageJ, Ubuntu",No,,Maybe,If they offer any advantage over the old brands.,Yes,Science is problem-solving. This is just part of it.,No,,No,,Yes
Male,,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Prague,,Czech Republic,biology,PhD,,Yes,Academy of Sciences of CR,Professor,Biology,,20,Partially satisfactory,,"some equipment available via facilities
other type of equipment owned by individual groups and consent needed
some equipment not available in the institute",Certain types of equipment are not available,,centrifuges,electrophoresis aparatus,biosafety cabinets,liquid chromatography purification station,total-internal-reflection fluorescence microscope,camera for single molecule imaging,No,,,Yes,"FIJI, Micromanager, APE",Yes,ImageJ,Yes,OpenSpim,Yes,If cheaper but looks robust enough,No,No time ,Yes,Looking for affordable option,No,,Yes
Male,,Brno,Moravia,Czech Republic,Pharmacy,PhD,,Yes,CEITEC MU,Researcher,Other,Structural Biology,24,Satisfactory,,New Research Institute with top equipment which will become old one day...,,,FPLC,thermocycler,Electrophoresis,table top centrifuges,-80C freezer,small shakers,No,,,Yes,"ImageJ, Pymol, Sparky, Chimera, molmol, Centos, Python, DNA Strider, pDraw, etc, etc",No,,No,,Maybe,Noname brands often made in China break earlier,Yes,Cheaper and fun!,Yes,Looking for affordable option,No,,Yes
Male,,Oxford,,UK,biology,PhD,,Yes,University of Oxford,Professor,Biology,,16,Satisfactory,,We have easy access to state-of-the-art equipment via core facilities.,,,"molecular biology (PCR, etc)",flow cytometry,next gen sequencing,Hyperion (imaging CyOF),None,None,No,,,I wouldn't know,,I wouldn't know,,No,,Yes,to get access to the latest technologies,No,like to focus on hypothesis driven research,Yes,Brand was recommended by a colleague,No,,No
Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Zurich,Zürich,Switzerland,Engineering,Masters,,Yes,University of Zurich,Student,Engineering,,3,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Tuebingen,Baden-Wuerttemberg,Germany,Biology,Masters,,Yes,University of Tuebingen,Researcher,Biology,,5,Satisfactory,,,,,Two-photon microscope,Confocal microscope,none,Multi-electrode array,None,None,No,,,Yes,"Python, ImageJ",Yes,"ImageJ, Python",No,,Maybe,Maybe because they are less expensive.,Yes,We can customize things according to our need and will also learn the basic working principle of the equipment which would also help in solving technical issues that comes during the experiment.,No,,No,,Yes
Female,,,,,Biology,PhD,,Yes,Private basic research institute,Professor,Biology,,18,Satisfactory,,,,,dissection microscopes,pipettes,thermocycler,confocal microscope,next generation sequencer,None,No,,,No,,I wouldn't know,,No,,Maybe,"I would like to know if other colleagues have good experience with a new brand first. Of course, it depends on the level of sophistication of the piece of equipment and how easy it would be for me to asses if the equipment fails or is imprecise in any way.",Yes,"Again it would depend on the sophistication of the equipment and the relative cost (not just price, but maintenance, and also environmental friendliness). ",Yes,Only available brand,No,,Yes
Female,,,,Germany,neuroscience,Masters,,Yes,NMI/MCS,Student,Biology,,7,Partially satisfactory,,"The variety is sufficient, the quality is something debatable.",The amount of time necessary to repair/calibrate existing equipment,,microelectride array,computer,none,a decent light stimulation setup,a good camara,None,Yes,,Equipment unavailable (other reasons than being broken),,,,,,,,,,,,,,,
Male,,Portland,Oregon,United States,Bioinformatics,PhD,,Yes,Oregon Health & Science University,Professor,Other,Bioinformatics,15,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Warsaw,Mazowieckie,Poland,Biolgy,Masters,,Yes,Nencki Institute,Student,Biology,,5,Satisfactory,,,,,"cages for behavioral research, microscopes, software for analysis of behavioral data",none,none,two photon microscope for calcium imaging,None,None,No,,,Yes,"Python, Ubuntu, Arduino, Bonsai, Miniscope, OpenEphys",Yes,The same as me,Yes,"Miniscope, OpenEphys, ",No,I do not ned it at this point,Yes,"Im doing it actually, its cheap and gives much more control",Yes,Looking for affordable option,Yes,"I built a controller for a laser for oprogenetic experiments, automated doors for a cage",Yes
Male,,Paris,,France,Computer Science / Computational Neuroscience,PhD,,Yes,Sorbonne University,Researcher,Other,Computational neuroscience,13,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
,,,,,Psychology,PhD,,Yes,,,Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,San Jose,California,United States,"Biology, Genetics, high-throughput yeast genetics using barcode sequencing",PhD,,Yes,"NIST, Stanford",Researcher,Biology,,7,Satisfactory,,I'm in a new lab flush with startup gear and leftovers from an old lab that just left. We are very well set up.,,,Pipette,Centrifuge,Nanodrop,Very high speed centrifuge (50mL's at 15krcf),None,None,No,,,Yes,"Ubuntu, Firefox, Singularity, Nextflow, R, Python, GIMP

My computer is all FOSS.",Yes,"Just code, as above.",No,,Yes,"If it filled a need. Example, I didn't know there are plate-filling robots (384 well format), and it makes some work we do way more feasible for one person to do.

But, I don't make the decisions about these kinds of things and have only made use with what we have. I'd like to take a more active role in the future.",Yes,"I just remembered that I'm very intent on building an Ingolia Turbidostat.
https://github.com/ingolia-lab/turbidostat/tree/master/mcgeachy-2018
I've built one turbidostat prototype and troubleshot another type of these.

These are a better way of culturing pooled libraries for sequencing-based pooled screens. That might make pooled screens (so no need for robotics) more precise, and maybe more accessible to others.",No,,Yes,"It was a turbidostat prototype, not good enough to actually use for experiments but it gave me the confidence to pursue building another better design (planning that now).",Yes
Male,,,,France,Biology,Masters,,Yes,,Student,Biology,,5,Partially satisfactory,,Not compatible with all operating systems. Works exclusively with proprietary software,The amount of time necessary to repair/calibrate existing equipment,,photospectrometer,transmission electronic microscope,none,None,None,None,Yes,,Equipment unavailable (other reasons than being broken),Yes,"Firefox, Ubuntu, R, RStudio, LaTeX, pandoc, vim, python, zotero",Yes,"Firefox, Ubuntu, R, RStudio, LaTeX, pandoc, vim, python, zotero",No,,Maybe,Science is highly competitive and some projects require fast results. I can not afford buying a broken/unfit piece of equipment. I therefore need to trust the brand. Trust might come from previous purchases. But it might also come from other places so I'm not totally reluctant to this idea,Yes,Probably easier to replace broken parts,No,,No,,Yes
Female,,Gatineau,Quebec,Canada,Ecology,PhD,,Yes,Code for Science and Society,Researcher,Biology,,3,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,,,,Psychology,Masters,,Yes,,Student,Other,Psychology,6,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Atlanta,Georgia,United States,biology,PhD,,Yes,Emory University,Researcher,Computer science,,1,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,,,,Neuroscience ,PhD,,Yes,,,Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,,,France,"psychology, neuroscience, image processing",PhD,,Yes,INRA,Researcher,Other,neuroscience,10,Partially satisfactory,,we have lots of equipment but there is a cost to using it,Other,cost,MRI,none,none,an MRI at a Tesla higher than 3,None,None,No,,,Yes,"Python, ImageJ, ITKsnap, ANTS, FSL, SPM, Freesurfer,",Yes,"Python, ImageJ, ITKsnap, ANTS, FSL, SPM, Freesurfer,",No,,Yes,why not,Yes,why not,No,,No,,Yes
Male,,Glasgow,,"Scotland, United Kingdom","MEng in microelectronics & photonics, DEng in medical devices",PhD,,Yes,University of Strathclyde,Researcher,Biology,,8,Satisfactory,,I work in quite a collaborative institute where many PIs are happy to share their equipment (although for some there is a monetary cost),,,Fluorescence microscope systems,Patch clamp,western blotting,Spinning disk confocal micrscope,3d printer,wire myograph,No,,,Yes,"ImageJ & FIJI, uManager, Python, VasoTracker!",Yes,"ImageJ & FIJI, uManager, Python",Yes,"OpenSPIN, OpenSPIM, Arduino, OpenPCR, OpenEphys, Prometheus, FlyPI, VasoTracker",Yes,"I will always assess value for money. However, if I can build a better one myself then I will!",Yes,Lab equipment is unnecessarily expensive and often only designed for specific tasks. I would prefer to build things that are useful for exactly what I want to do!,No,,Yes,"VasoTracker (open source pressure myograph system, see www.vasotracker.com)",Yes
,,,,,A,Bachelors of science,,,,Researcher,Health,,2,Satisfactory,,,,,Eeg,none,none,Tilt machine,None,None,I wouldn't know,,,Yes,Eeglab,I wouldn't know,,No,,Yes,G,Yes,H,No,,Yes,G,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Kiifi,,Kenya,Biology,PhD,,Yes,Pwani university,Professor,Biology,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Columbia,MO,USA,Physiology and Pharmacology,PhD,,Yes,University of Missouri,Professor,Other,Physiology,13,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Paris,,France,Biology ,PhD,,Yes,CNRS INSERM ,Researcher,Biology,,20,Partially satisfactory,,Nice core facilities but expensive ,Too many users for a small number of equipment/tools,,behavioural setup,Surgery room,Electrophysiology rig,Optical imaging miniscope in vivo,Wireless optogenetic stimulation,Electrophysiology extracellular recording setup,No,,,Yes,"OpenEphys, UCLA miniscope, FED (3D printed feeder), ImageJ, Python, Github",Yes,"OpenEphys, UCLA miniscope, FED (3D printed feeder), ImageJ, Python, Github",Yes,"OpenEphys, UCLA miniscope, FED (3D printed feeder), Cyclops",Yes,Sometimes worth the price if too technical,Yes,"We are already doing so. Cheaper, more flexibility to modify",Yes,Needed to establish new protocols/experiments in the lab for which there were no options available in the market,Yes,High throughput operant chamber for mice. Compatible with chronic recording and optogenetic protocols. Necessary to run complex behavioural tasks. Publication soon.,Yes
Male,,Pasadena,California,USA,Mech Eng,Bachelors of science,,Yes,Caltech,Student,Biology,,1,Partially satisfactory,,"Few of certain types of machines, hard to get time on them. Time lags for buying new equiptment ",Too many users for a small number of equipment/tools,,Microscope,Syringe pump,Gel Imager,10X single cell sequencing machine,Top of the line Nikon microscope ,F2 Excimer Laser,I wouldn't know,,,Yes,"Python
Arduino
ImageJ
poseidon (I developed)",Yes,Same as above. We have user of the poseidon system. ,Yes,"Open PCR
Open trons
poseidon
Open source centrifuge
Open source e-wetting machine ",Maybe,Cost and performance is important to consider. ,Yes,I have complete control over the operation of the drive (as long as it works as well as I’d like it to.),No,,Yes,poseidon syringe pump and microscope is an open source system that I developed,Yes
Male,,Paris ,,France,Biology ,PhD,,Yes,CNR S,Researcher,Biology,,30,Satisfactory,,,,,Electrophysiology rigs,2-photon microscopes ,Confocal miceoscopes,2-photon microscopes ,Miniendoscopes,Electrophysiology rigs for in vivo recordings,No,,,Yes,Image. Python. ,Yes,Imaje J python openephys,Yes,Openephys,Maybe,Test,No,Too complicated.too much time to invest. Lack of support ,Yes,Looking for affordable option,Yes,Computers ,Yes
Female,,Langenau,,Germany,IT & Business & Engineering,PhD,,Yes,"acm, webgrrls.de, DHBW (university)",Professor,Other,Business Informatics,16,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Montpellier,,France,"evolutionary biology, ecology",PhD,,Yes,Institut National de la Recherche Agronomique,Researcher,Biology,,8,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
,,,,,Biology,PhD,,Yes,,Researcher,Biology,,28,Satisfactory,,,,,Confical microscopes,Custom built behavioural equipment,none,Two-photon microscope,Super resolution microscope,Build more customised behavioural equipment,No,,,Yes,FIJI,I wouldn't know,,No,,Yes,"Why not! As long as the equipment fits a need, who cares about the brand!",Yes,Because that would create equipment customised to my needs,Yes,Needed to establish new protocols/experiments in the lab for which there were no options available in the market,Yes,My team has recently started to build customised behavioural equipment for fruit flies,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Paris,,France,"Biology, Computer science",PhD,,Yes,Center for Research and Interdisciplinarity,Researcher,Biology,,18,Satisfactory,,,,,Incubator,Thermocycler,Confocal microscope,Confocal microscope,Liquid handling station,Fluorescent stereomicroscope,Yes,Confocal microscope,Equipment broke and it took too much time to repair it,Yes,"ImageJ, Python, Linux, EMBOSS, PHP, Java, MariaDB, ",Yes,"ImageJ, Python, Linux, EMBOSS, PHP, Java, MariaDB, OpenSPIM",Yes,"OpenSPIM, OpenPCR",,,,,,,,,
Female,,Langenau,,Germany,IT & Engineering,PhD,,Yes,DHBW,Professor,Computer science,,13,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
